x,y,z
-0.35498047,0.3701172,0.8442383
-0.36035156,0.3618164,0.86035156
-0.36035156,0.36035156,0.8798828
-0.34570312,0.35986328,0.878418
-0.34277344,0.34960938,0.89501953
-0.34375,0.34960938,0.9145508
-0.33740234,0.34960938,0.91259766
-0.32763672,0.3413086,0.9257813
-0.32958984,0.34521484,0.93359375
-0.31640625,0.34277344,0.9448243
-0.3149414,0.34423828,0.95996094
-0.3095703,0.34423828,0.9658204
-0.31591797,0.3359375,0.98046875
-0.30908203,0.3408203,0.9863281
-0.30419922,0.3408203,0.9980469
-0.30517578,0.3388672,1.0063477
-0.3022461,0.34326172,0.9897461
-0.29589844,0.34033203,1.0004883
-0.29589844,0.3383789,1.0024414
-0.29052734,0.33691406,0.99853516
-0.28515625,0.3330078,1.0029297
-0.29101562,0.3388672,1.0117188
-0.2836914,0.34179688,1.0117188
-0.28857422,0.33642578,1.0249023
-0.28173828,0.33544922,1.0317383
-0.27490234,0.3305664,1.0200195
-0.27441406,0.33251953,1.0214844
-0.27685547,0.3227539,1.0214844
-0.26367188,0.32373047,1.0102539
-0.2631836,0.32128906,1.0087891
-0.25732422,0.32617188,1.0039062
-0.24951172,0.32226562,0.99658203
-0.25146484,0.31933594,0.9946289
-0.24560547,0.31640625,0.98291016
-0.24658203,0.3227539,0.9716797
-0.24169922,0.32910156,0.9448243
-0.24414061,0.32080078,0.9375
-0.24511719,0.3178711,0.91162115
-0.24169922,0.3154297,0.8964843
-0.24707031,0.3100586,0.8833008
-0.2529297,0.3095703,0.8725586
-0.25390625,0.3100586,0.8452149
-0.25195312,0.30322266,0.8413086
-0.265625,0.2915039,0.8305664
-0.25732422,0.29296875,0.80908203
-0.25732422,0.28710938,0.79589844
-0.2578125,0.2841797,0.8100586
-0.26757812,0.2841797,0.80322266
-0.26904297,0.28466797,0.80908203
-0.27001953,0.28320312,0.79785156
-0.26953125,0.29101562,0.7998047
-0.25732422,0.2944336,0.81152344
-0.2529297,0.30273438,0.8295899
-0.24658203,0.3071289,0.824707
-0.24804686,0.30810547,0.85107416
-0.23925783,0.30908203,0.8623047
-0.234375,0.32373047,0.85498047
-0.2211914,0.3256836,0.86376953
-0.2133789,0.33007812,0.86132807
-0.21093751,0.33740234,0.878418
-0.20263672,0.33691406,0.90869135
-0.21240234,0.3383789,0.9526367
-0.20214844,0.35009766,0.92871094
-0.18310547,0.34228516,0.92333984
-0.171875,0.34765625,0.9370117
-0.16455078,0.3486328,0.9487304
-0.15722656,0.35009766,0.953125
-0.15625,0.3544922,0.9433593
-0.14453125,0.36035156,0.9448243
-0.12988281,0.36083984,0.9633789
-0.12011718,0.3564453,0.9716797
-0.09082031,0.33984375,1.0043945
-0.091308594,0.3486328,1.0185547
-0.091796875,0.36621094,1.0532227
-0.096191406,0.35839844,1.034668
-0.087890625,0.35351562,0.97558594
-0.08935547,0.3618164,0.93066406
-0.08154297,0.3720703,0.9008789
-0.087890625,0.36816406,0.8881836
-0.08984375,0.36035156,0.86669916
-0.08984375,0.35595703,0.8564453
-0.092285156,0.35058594,0.83740234
-0.088378906,0.34326172,0.8310547
-0.088378906,0.32910156,0.8286133
-0.091796875,0.32714844,0.8574219
-0.10107422,0.31982422,0.86865234
-0.106933594,0.31054688,0.89794916
-0.11767579,0.30273438,0.91699225
-0.125,0.296875,0.9291993
-0.13378906,0.296875,0.9404297
-0.13671875,0.2836914,0.9331054
-0.14355469,0.27441406,0.9394532
-0.14501953,0.25976562,0.92431635
-0.1459961,0.25048828,0.9150391
-0.1484375,0.23583983,0.9140625
-0.16064453,0.22265626,0.90722656
-0.1459961,0.21191406,0.91699225
-0.14355469,0.19384766,0.9199219
-0.14111328,0.19042969,0.92431635
-0.13623047,0.18896484,0.9311523
-0.1328125,0.18408203,0.94970703
-0.12451172,0.18457031,0.9506836
-0.140625,0.19628906,0.9760742
-0.13720703,0.19628906,0.99658203
-0.15283203,0.20751952,1.0170898
-0.15625,0.21679688,1.0332031
-0.18017578,0.23046875,1.0483398
-0.23730469,0.26953125,1.0097656
-0.31591797,0.30126953,0.90722656
-0.1821289,0.27246094,1.0058594
-0.14794922,0.27246094,1.0722656
-0.1274414,0.2836914,1.1362305
-0.119140625,0.29638672,1.1796875
-0.1274414,0.29052734,1.2177734
-0.14697266,0.28857422,1.2548828
-0.16699219,0.28466797,1.2919922
-0.1953125,0.28564453,1.2988281
-0.2192383,0.28271484,1.3110352
-0.23242188,0.29101562,1.3017578
-0.23291016,0.29785156,1.2773438
-0.24462889,0.3046875,1.2529297
-0.24511719,0.31347656,1.2172852
-0.25341797,0.31640625,1.1762695
-0.26123047,0.32177734,1.1450195
-0.26611328,0.33007812,1.1079102
-0.2631836,0.32226562,1.0913086
-0.2758789,0.32373047,1.059082
-0.33154297,0.35009766,1.0302734
-0.42333984,0.41210938,0.9604493
-0.42724606,0.4013672,0.93896484
-0.42187503,0.38964844,0.9111328
-0.39257812,0.36914062,0.8911132
-0.39257812,0.35986328,0.8833008
-0.39111328,0.3413086,0.8774414
-0.37939453,0.32714844,0.8789062
-0.3623047,0.3154297,0.8681641
-0.3544922,0.2944336,0.8618164
-0.3383789,0.28125,0.8452149
