x,y,z
-0.028320312,0.17822266,0.90185547
-0.018066406,0.1694336,0.9350586
-0.015625,0.17333984,0.93798834
-0.01171875,0.17382812,0.9550781
-0.015136719,0.16796875,0.97509766
-0.009277344,0.17529297,0.9980469
-0.020019531,0.17041016,1.0073242
-0.016113281,0.17041016,1.0283203
-0.020996094,0.17382812,1.0375977
-0.021972656,0.17822266,1.0395508
-0.02636719,0.17773438,1.0454102
-0.029785156,0.17822266,1.0375977
-0.03173828,0.18066406,1.0356445
-0.02685547,0.17773438,1.0307617
-0.032714844,0.1743164,1.0170898
-0.03564453,0.17871094,1.0107422
-0.036132812,0.17333984,1.0009766
-0.03173828,0.17626953,0.98779297
-0.0390625,0.17138672,0.9873047
-0.034179688,0.17041016,0.9780274
-0.04736328,0.17041016,0.9814454
-0.041503906,0.1694336,0.98583984
-0.0390625,0.16894531,0.9760742
-0.033691406,0.16699219,0.9799804
-0.03564453,0.17138672,0.9863281
-0.027832033,0.16894531,0.984375
-0.029296875,0.16503906,0.9907226
-0.032226562,0.16259766,1.0014648
-0.032714844,0.1616211,0.99658203
-0.033203125,0.16210938,0.9951172
-0.028808594,0.1616211,1.0068359
-0.030761719,0.16259766,1.0131836
-0.030761719,0.16015625,1.0019531
-0.030761719,0.16259766,1.0014648
-0.027832033,0.16015625,1.0107422
-0.029785156,0.16796875,0.99853516
-0.033203125,0.16796875,1.0068359
-0.029296875,0.17089844,0.99609375
-0.037597656,0.17089844,0.9926758
-0.03173828,0.16894531,0.98095703
-0.03466797,0.1821289,0.98095703
-0.029296875,0.17089844,0.9790039
-0.032714844,0.16992188,0.9731445
-0.028320312,0.17333984,0.9790039
-0.03125,0.1796875,0.9726563
-0.03125,0.17871094,0.98095703
-0.032226562,0.18261719,0.9790039
-0.029785156,0.18164062,0.9799804
-0.032226562,0.18066406,0.9833985
-0.03125,0.18066406,0.98486334
-0.029785156,0.18066406,0.97509766
-0.032226562,0.18017578,0.9760742
-0.032226562,0.1821289,0.984375
-0.030761719,0.17871094,0.9780274
-0.03173828,0.18798828,0.9790039
-0.03125,0.18017578,0.97851557
-0.034179688,0.1796875,0.98779297
-0.03515625,0.18603516,0.984375
-0.02685547,0.18603516,0.98046875
-0.03125,0.18359375,0.9770508
-0.029296875,0.18359375,0.9873047
-0.029296875,0.1821289,0.9838867
-0.032226562,0.1821289,0.9897461
-0.03466797,0.18115234,0.98779297
-0.029296875,0.18310547,0.99316406
-0.033203125,0.18164062,0.99316406
-0.028808594,0.17822266,0.9887695
-0.03173828,0.1743164,0.9926758
-0.030273438,0.17333984,0.9892578
-0.024414062,0.17919922,0.99609375
-0.028320312,0.171875,0.9892578
-0.02636719,0.17382812,0.9863281
-0.028808594,0.17236328,1.0014648
-0.028320312,0.17626953,0.9951172
-0.02636719,0.17333984,0.9980469
-0.022460938,0.171875,0.9907226
-0.027832033,0.17089844,0.9897461
-0.025390625,0.17382812,0.99316406
-0.025390625,0.17138672,0.9853515
-0.02685547,0.16699219,0.9946289
-0.028808594,0.16796875,0.9892578
-0.02636719,0.17138672,0.9907226
-0.02636719,0.17138672,0.9863281
-0.029296875,0.17138672,0.984375
-0.023925781,0.17773438,0.9873047
-0.022949219,0.17480469,0.9833985
-0.028808594,0.17480469,0.98486334
-0.034179688,0.17578125,0.9956055
-0.025878904,0.18261719,0.99121094
-0.033203125,0.1772461,0.98779297
-0.02636719,0.1796875,0.98681647
-0.034179688,0.18115234,0.98583984
-0.032714844,0.1796875,0.9838867
-0.03173828,0.18066406,0.98095703
-0.040039062,0.17919922,0.9897461
-0.03466797,0.18457031,0.9770508
-0.040527344,0.18359375,0.9794922
-0.0390625,0.1875,0.9853515
-0.03125,0.1850586,0.9790039
-0.027832033,0.1821289,0.9780274
-0.037109375,0.17578125,0.9716797
-0.034179688,0.18017578,0.98046875
-0.032714844,0.18603516,0.97753906
-0.033691406,0.18164062,0.9833985
-0.03173828,0.18359375,0.9760742
-0.027832033,0.18554688,0.98095703
-0.03857422,0.18359375,0.98095703
-0.03466797,0.1772461,0.9760742
-0.03515625,0.17675781,0.9892578
-0.033691406,0.17822266,0.9794922
-0.034179688,0.17578125,0.98828125
-0.033203125,0.17871094,0.9907226
-0.029785156,0.18066406,0.9838867
-0.038085938,0.17333984,0.9838867
-0.03125,0.17089844,0.99414057
-0.03515625,0.17675781,0.9951172
-0.036132812,0.17236328,0.98291016
-0.033691406,0.17236328,0.9951172
-0.030273438,0.17529297,0.9980469
-0.033691406,0.17138672,0.9970704
-0.03564453,0.18066406,0.9956055
-0.03515625,0.17773438,0.9916992
-0.028808594,0.17578125,0.99121094
-0.034179688,0.1772461,0.9946289
-0.029785156,0.17333984,0.99658203
-0.029785156,0.1772461,0.9946289
-0.03515625,0.17626953,0.98779297
-0.028808594,0.17480469,0.9916992
-0.03564453,0.17333984,0.99121094
-0.033203125,0.16992188,0.9833985
-0.033203125,0.16894531,0.98486334
-0.034179688,0.16894531,0.9936524
-0.03564453,0.16894531,0.984375
-0.029785156,0.16796875,0.9887695
-0.037109375,0.17626953,0.984375
-0.036621094,0.17089844,0.98486334
-0.03857422,0.17382812,0.98779297
-0.029785156,0.17919922,0.984375
-0.03564453,0.17333984,0.98583984
-0.03466797,0.17041016,0.984375
-0.03125,0.16699219,0.9863281
-0.030761719,0.17041016,0.98583984
-0.03173828,0.17138672,0.98779297
-0.03125,0.17041016,0.9863281
-0.024414062,0.17041016,0.9863281
-0.024414062,0.17480469,0.99316406
-0.025878904,0.17333984,0.98681647
-0.027832033,0.16796875,0.99121094
-0.022949219,0.16552734,0.9873047
-0.024902344,0.17089844,0.9887695
-0.0234375,0.16894531,0.9897461
-0.023925781,0.17041016,0.98828125
-0.025390625,0.17480469,0.99316406
-0.029296875,0.17529297,0.99218744
-0.03125,0.17773438,0.9790039
-0.027343752,0.1743164,0.98828125
-0.040039062,0.1743164,0.98779297
-0.03173828,0.17871094,0.9873047
-0.037597656,0.17919922,0.9892578
-0.037109375,0.18359375,0.97753906
-0.037109375,0.17578125,0.9907226
-0.036621094,0.1772461,0.98486334
-0.03173828,0.17626953,0.9951172
-0.038085938,0.17285156,0.9946289
-0.033691406,0.17333984,0.9853515
-0.033691406,0.17382812,0.9970704
-0.037109375,0.16748047,0.9980469
-0.033691406,0.17236328,1.0009766
-0.03173828,0.16992188,1.0
-0.03466797,0.1665039,1.0063477
-0.040039062,0.16845703,1.0029297
-0.03173828,0.17333984,1.0019531
-0.03515625,0.16210938,0.9936524
-0.029785156,0.16455078,0.9980469
-0.041503906,0.16748047,1.0
-0.04638672,0.16357422,0.99609375
-0.03955078,0.16699219,0.9926758
-0.04345703,0.16210938,0.9853515
-0.040039062,0.15771484,0.99023443
-0.037597656,0.15673828,0.9833985
-0.043945312,0.15820312,0.97851557
-0.041503906,0.15966797,0.97460943
-0.04638672,0.15478516,0.9838867
-0.044921875,0.15917969,0.97460943
-0.041992188,0.15332031,0.97753906
-0.044921875,0.15234375,0.96923834
-0.04248047,0.15625,0.97119147
-0.04248047,0.15234375,0.97021484
-0.04248047,0.1586914,0.9770508
-0.037109375,0.16845703,0.97753906
-0.03515625,0.16210938,0.97753906
-0.037597656,0.1586914,0.984375
-0.03564453,0.16552734,0.98095703
-0.034179688,0.16357422,0.99121094
-0.03515625,0.16894531,0.99218744
-0.036132812,0.16748047,0.9970704
-0.029296875,0.17089844,0.99609375
-0.028808594,0.17138672,1.0029297
