x,y,z
-0.50146484,0.5800781,0.7167969
-0.5253906,0.58935547,0.68408203
-0.5332031,0.59228516,0.6738281
-0.53515625,0.58496094,0.66845703
-0.52734375,0.5761719,0.6669922
-0.52001953,0.56884766,0.67041016
-0.50634766,0.55859375,0.6850586
-0.49121094,0.54589844,0.6801758
-0.47753906,0.5361328,0.6928711
-0.45361328,0.53515625,0.7011719
-0.4331055,0.5180664,0.72021484
-0.42382812,0.5102539,0.72753906
-0.39990234,0.4985352,0.74072266
-0.3935547,0.48925778,0.7470703
-0.39208984,0.4697266,0.7573242
-0.39648438,0.45703125,0.76708984
-0.39013672,0.44433594,0.74853516
-0.38476562,0.44677734,0.73876953
-0.3774414,0.43603516,0.7363281
-0.37158203,0.44433594,0.7504883
-0.36914062,0.44873047,0.77783203
-0.35742188,0.44970706,0.79296875
-0.3642578,0.45458984,0.81347656
-0.35742188,0.4550781,0.83447266
-0.35205078,0.45458984,0.85498047
-0.34179688,0.45458984,0.8745117
-0.34326172,0.44873047,0.8833008
-0.32958984,0.44970706,0.89404297
-0.32080078,0.4384766,0.9091797
-0.3095703,0.43066403,0.91259766
-0.3071289,0.4262695,0.91845703
-0.29345703,0.42724606,0.92822266
-0.2939453,0.42724606,0.9487304
-0.28857422,0.42041016,0.95361334
-0.2841797,0.4189453,0.9736328
-0.28515625,0.4267578,0.97656244
-0.2993164,0.425293,0.97851557
-0.3076172,0.425293,0.97509766
-0.31835938,0.42236328,0.96923834
-0.33740234,0.4316406,0.9736328
-0.3466797,0.43701172,0.9472656
-0.36279297,0.4472656,0.9296875
-0.36523438,0.4501953,0.92529297
-0.3701172,0.4550781,0.9404297
-0.38330078,0.4580078,0.92431635
-0.38427734,0.45947263,0.9204102
-0.3798828,0.44335938,0.9360352
-0.36767578,0.4462891,0.921875
-0.36865234,0.44433594,0.8925782
-0.3642578,0.4472656,0.87060547
-0.35546875,0.45117188,0.85302734
-0.34570312,0.46142578,0.8466797
-0.33447266,0.45947263,0.83935547
-0.3251953,0.4682617,0.84375006
-0.31933594,0.47314453,0.83984375
-0.2998047,0.48095703,0.8520508
-0.28515625,0.4819336,0.8452149
-0.27734375,0.48486325,0.847168
-0.2763672,0.48876953,0.85400397
-0.26123047,0.49414062,0.8378906
-0.2548828,0.49951175,0.834961
-0.24658203,0.4946289,0.83984375
-0.22851562,0.50439453,0.84570307
-0.22216797,0.51220703,0.834961
-0.20654298,0.5078125,0.84277344
-0.19921875,0.5107422,0.8354492
-0.18310547,0.5102539,0.83203125
-0.1694336,0.50878906,0.819336
-0.1616211,0.5073242,0.81396484
-0.1538086,0.5126953,0.80908203
-0.13867188,0.52197266,0.83740234
-0.12890625,0.5234375,0.85839844
-0.122558594,0.5288086,0.8886719
-0.11669922,0.51953125,0.921875
-0.110839844,0.52246094,0.9404297
-0.11328125,0.52441406,0.9584961
-0.12451172,0.50341797,0.97558594
-0.15673828,0.4316406,0.9550781
-0.14990234,0.43750003,0.95898443
-0.13574219,0.44287106,0.9624024
-0.125,0.45166013,0.96484375
-0.115234375,0.46923828,0.9716797
-0.091796875,0.46630862,0.95166016
-0.068359375,0.48046872,0.94189453
-0.045898438,0.4829102,0.90771484
-0.02636719,0.4814453,0.88232416
-0.017089844,0.49804688,0.8798828
-0.008300781,0.5126953,0.8754882
9.765625E-4,0.5078125,0.88232416
0.009765625,0.5151367,0.9003906
0.016113281,0.5126953,0.91064453
0.019042969,0.5097656,0.93066406
0.030273438,0.50097656,0.94970703
0.044921875,0.48242188,0.98291016
0.07080078,0.4658203,1.0429688
0.08496094,0.44921875,1.0957031
0.10498047,0.42138672,1.1469727
0.11962891,0.4038086,1.1894531
0.12792969,0.38232422,1.2133789
0.12988281,0.3647461,1.2128906
0.12646484,0.35009766,1.1938477
0.118164055,0.34033203,1.1489258
0.10253906,0.3334961,1.1142578
0.09033203,0.33740234,1.0751953
0.076171875,0.3408203,1.0214844
0.05419922,0.3544922,0.96191406
0.045898438,0.36083984,0.9506836
0.037109375,0.3720703,0.9321289
0.029296875,0.38330078,0.9404297
0.036132812,0.38720703,0.9375
0.025878904,0.38671875,0.9477539
0.025390625,0.39794922,0.95166016
0.03564453,0.40478516,0.9731445
0.02685547,0.39794922,0.9790039
0.027343752,0.39453125,0.9799804
0.02636719,0.39501953,1.0043945
0.022460938,0.3774414,1.0151367
0.022460938,0.37939453,1.019043
0.02685547,0.37597656,1.03125
0.024414062,0.36865234,1.0336914
0.029785156,0.36572266,1.034668
0.027343752,0.36083984,1.0419922
0.028808594,0.36035156,1.0493164
0.028808594,0.35351562,1.0585938
0.03564453,0.3569336,1.0629883
0.037597656,0.3491211,1.0625
0.029296875,0.35205078,1.0776367
0.028808594,0.35058594,1.0830078
0.030273438,0.34716797,1.0874023
0.013183595,0.35302734,1.0932617
0.015625,0.35839844,1.09375
0.0073242188,0.3544922,1.0976562
-0.003417969,0.36132812,1.0854492
-0.017578125,0.36865234,1.0776367
-0.029296875,0.36035156,1.0634766
-0.03515625,0.36376953,1.0449219
-0.044921875,0.37402344,1.0371094
-0.05175781,0.37890625,1.015625
-0.05419922,0.37695312,1.0083008
-0.06542969,0.3798828,0.9814454
-0.068847656,0.3779297,0.97460943
-0.067871094,0.3725586,0.9697265
-0.068359375,0.37109375,0.9477539
-0.064941406,0.37158203,0.94091797
-0.06591797,0.37548828,0.9311523
-0.06298828,0.37304688,0.93261725
-0.059082028,0.36865234,0.9350586
-0.05419922,0.37402344,0.9291993
-0.053222656,0.3720703,0.93408203
-0.05371094,0.36523438,0.93798834
-0.057128906,0.36328125,0.93261725
-0.054687504,0.359375,0.9355469
-0.05371094,0.35839844,0.94531244
-0.061035153,0.35791016,0.9428711
-0.060546875,0.35986328,0.94384766
-0.055664066,0.36523438,0.9570313
-0.05517578,0.3725586,0.95556635
-0.04736328,0.3779297,0.9580078
-0.0390625,0.390625,0.95361334
-0.040039062,0.3935547,0.9501954
-0.03857422,0.40478516,0.93896484
-0.028808594,0.41015625,0.9467773
-0.020507812,0.41357422,0.92626953
-0.01171875,0.418457,0.9165039
-0.0029296875,0.4262695,0.9150391
0.009277344,0.42724606,0.90869135
0.0107421875,0.43066403,0.8999023
0.016113281,0.4326172,0.89160156
0.019042969,0.4331055,0.8837891
0.020996094,0.43408206,0.8715821
0.033203125,0.43017578,0.87597656
0.03857422,0.42236328,0.8798828
0.032226562,0.41992188,0.8696289
0.03466797,0.41992188,0.88037115
0.03857422,0.41650394,0.8715821
0.05273438,0.4248047,0.878418
0.05810547,0.42578125,0.8720703
0.05175781,0.42041016,0.8715821
0.048828125,0.43750003,0.8544921
0.041015625,0.44921875,0.8520508
0.020996094,0.45361328,0.84179693
-0.006835938,0.46679688,0.83007807
-0.03173828,0.47265622,0.8305664
-0.060546875,0.4736328,0.8173829
-0.11669922,0.43115234,0.7993164
-0.12792969,0.45458984,0.7944336
-0.12646484,0.4838867,0.81347656
-0.14794922,0.4829102,0.8256836
-0.13183594,0.50683594,0.8286133
-0.12060547,0.51953125,0.8198242
-0.11035156,0.5317383,0.80859375
-0.10546876,0.5473633,0.7836914
-0.084472656,0.57177734,0.77441406
-0.07080078,0.58154297,0.7573242
-0.05517578,0.60791016,0.74658203
-0.054687504,0.6201172,0.74609375
-0.056152344,0.61816406,0.71533203
-0.05517578,0.62109375,0.70654297
-0.057128906,0.6142578,0.68847656
-0.061035153,0.60546875,0.67626953
-0.06689453,0.5966797,0.6796875
-0.075683594,0.5805664,0.6894531
-0.07373047,0.5673828,0.69873047
-0.080566406,0.56640625,0.7084961
-0.07470703,0.55126953,0.72216797
-0.08496094,0.55371094,0.7285156
-0.08251953,0.54541016,0.7290039
-0.07910156,0.5439453,0.72753906
-0.08105469,0.5385742,0.72265625
-0.07373047,0.5385742,0.7163086
-0.0703125,0.53125,0.7167969
-0.067871094,0.5185547,0.71533203
-0.067871094,0.5126953,0.7182617
-0.0703125,0.5131836,0.7163086
-0.06982422,0.50878906,0.7290039
-0.072753906,0.5019531,0.7290039
-0.075683594,0.49951175,0.7392578
-0.068847656,0.49169925,0.7441406
-0.06640625,0.49169925,0.76123047
-0.076660156,0.48876953,0.7607422
-0.067871094,0.48535156,0.7675781
-0.0703125,0.47460938,0.7783203
-0.06689453,0.47998047,0.78515625
-0.060546875,0.47705078,0.7963867
-0.07080078,0.4760742,0.8183594
-0.062011715,0.4760742,0.836914
-0.063964844,0.4760742,0.8559571
-0.056152344,0.48242188,0.87597656
-0.055664066,0.47949222,0.88623047
-0.05517578,0.4736328,0.90234375
-0.04736328,0.4736328,0.90625
-0.052246094,0.47460938,0.9101562
-0.044433594,0.46777344,0.9204102
-0.032714844,0.46533203,0.9194336
-0.034179688,0.46728513,0.92529297
-0.019042969,0.4658203,0.91699225
